"DateTime";"Максимальная температура, С";"Средняя температура, С";"Минимальная температура, С"
2020-11-11 00:00:00;1;-4;-9
2020-11-12 00:00:00;-1;-6;-11
2020-11-13 00:00:00;-1;-6.5;-12
2020-11-14 00:00:00;0;-6;-12
2020-11-15 00:00:00;-5;-8.5;-12
2020-11-16 00:00:00;-2;-5.5;-9
2020-11-17 00:00:00;-4;-7.5;-11
2020-11-18 00:00:00;-6;-8;-10
2020-11-19 00:00:00;-7;-11;-15
2020-11-20 00:00:00;-8;-12;-16
2020-11-21 00:00:00;-6;-10.5;-15
2020-11-22 00:00:00;-4;-8.5;-13
2020-11-23 00:00:00;-1;-3;-5
2020-11-24 00:00:00;-3;-7;-11
2020-11-25 00:00:00;-6;-11.5;-17
2020-11-26 00:00:00;-8;-12.5;-17
2020-11-27 00:00:00;-10;-13.5;-17
2020-11-28 00:00:00;-11;-14;-17
2020-11-29 00:00:00;-10;-12.5;-15
2020-11-30 00:00:00;-8;-11.5;-15
2020-12-01 00:00:00;-5;-8;-11
2020-12-02 00:00:00;-8;-10.5;-13
2020-12-03 00:00:00;-8;-13.5;-19
2020-12-04 00:00:00;-13;-17.5;-22
2020-12-05 00:00:00;-11;-16.5;-22
2020-12-06 00:00:00;-12;-15;-18
2020-12-07 00:00:00;-10;-16.5;-23
2020-12-08 00:00:00;-16;-19.5;-23
2020-12-09 00:00:00;-13;-17;-21
2020-12-10 00:00:00;-13;-18.5;-24
2020-12-11 00:00:00;-19;-22.5;-26
2020-12-12 00:00:00;-14;-18;-22
2020-12-13 00:00:00;-15;-21;-27
2020-12-14 00:00:00;-21;-24.5;-28
2020-12-15 00:00:00;-18;-21;-24
2020-12-16 00:00:00;-15;-19.5;-24
2020-12-17 00:00:00;-14;-20;-26
2020-12-18 00:00:00;-19;-22;-25
2020-12-19 00:00:00;-16;-20;-24
2020-12-20 00:00:00;-15;-20;-25
2020-12-21 00:00:00;-15;-19;-23
2020-12-22 00:00:00;-11;-16;-21
2020-12-23 00:00:00;-16;-20;-24
2020-12-24 00:00:00;-19;-22;-25
2020-12-25 00:00:00;-19;-22.5;-26
2020-12-26 00:00:00;-13;-18.5;-24
2020-12-27 00:00:00;-22;-25;-28
2020-12-28 00:00:00;-25;-27.5;-30
2020-12-29 00:00:00;-24;-27;-30
2020-12-30 00:00:00;-24;-27.5;-31
2020-12-31 00:00:00;-24;-27.5;-31
2021-01-01 00:00:00;-22;-25.5;-29
2021-01-02 00:00:00;-21;-24.5;-28
2021-01-03 00:00:00;-18;-21.5;-25
2021-01-04 00:00:00;-16;-22.5;-29
2021-01-05 00:00:00;-28;-30.5;-33
2021-01-06 00:00:00;-24;-27.5;-31
2021-01-07 00:00:00;-19;-22;-25
2021-01-08 00:00:00;-14;-17;-20
2021-01-09 00:00:00;-12;-19;-26
2021-01-10 00:00:00;-17;-22;-27
2021-01-11 00:00:00;-17;-21;-25
2021-01-12 00:00:00;-15;-22.5;-30
2021-01-13 00:00:00;-23;-27.5;-32
2021-01-14 00:00:00;-21;-26;-31
2021-01-15 00:00:00;-13;-20;-27
2021-01-16 00:00:00;-11;-15.5;-20
2021-01-17 00:00:00;-18;-21.5;-25
2021-01-18 00:00:00;-20;-23.5;-27
2021-01-19 00:00:00;-18;-22.5;-27
2021-01-20 00:00:00;-16;-20.5;-25
2021-01-21 00:00:00;-18;-23;-28
2021-01-22 00:00:00;-20;-23;-26
2021-01-23 00:00:00;-13;-19.5;-26
2021-01-24 00:00:00;-11;-12.5;-14
2021-01-25 00:00:00;-13;-16;-19
2021-01-26 00:00:00;-18;-23;-28
2021-01-27 00:00:00;-23;-29;-35
2021-01-28 00:00:00;-18;-26;-34
2021-01-29 00:00:00;-21;-24;-27
2021-01-30 00:00:00;-17;-22.5;-28
2021-01-31 00:00:00;-22;-27.5;-33
2021-02-01 00:00:00;-24;-29.5;-35
2021-02-02 00:00:00;-22;-28;-34
2021-02-03 00:00:00;-18;-23.5;-29
2021-02-04 00:00:00;-13;-18;-23
2021-02-05 00:00:00;-8;-15;-22
2021-02-06 00:00:00;-14;-19.5;-25
2021-02-07 00:00:00;-13;-19;-25
2021-02-08 00:00:00;-13;-19.5;-26
2021-02-09 00:00:00;-12;-18.5;-25
2021-02-10 00:00:00;-6;-13;-20
2021-02-11 00:00:00;-8;-12.5;-17
2021-02-12 00:00:00;-13;-20.5;-28
2021-02-13 00:00:00;-16;-23;-30
2021-02-14 00:00:00;-17;-22.5;-28
2021-02-15 00:00:00;-16;-22.5;-29
2021-02-16 00:00:00;-18;-24.5;-31
2021-02-17 00:00:00;-12;-19.5;-27
2021-02-18 00:00:00;-6;-12.5;-19
2021-02-19 00:00:00;-8;-12.5;-17
2021-02-20 00:00:00;-6;-11;-16
2021-02-21 00:00:00;-12;-20;-28
2021-02-27 00:00:00;-12;-18.5;-25
2021-02-28 00:00:00;-14;-20;-26
2021-03-01 00:00:00;-13;-20.5;-28
2021-03-02 00:00:00;-10;-18;-26
2021-03-03 00:00:00;-6;-13;-20
2021-03-04 00:00:00;-12;-19.5;-27
2021-03-05 00:00:00;-12;-20;-28
2021-03-06 00:00:00;-3;-12;-21
2021-03-07 00:00:00;-3;-11.5;-20
2021-03-08 00:00:00;1;-7;-15
2021-03-09 00:00:00;0;-8.5;-17
2021-03-10 00:00:00;2;-6;-14
2021-03-11 00:00:00;4;-5.5;-15
2021-03-12 00:00:00;5;-4;-13
2021-03-13 00:00:00;8;-1.5;-11
2021-03-14 00:00:00;-4;-8.5;-13
2021-03-15 00:00:00;-3;-9;-15
2021-03-16 00:00:00;-3;-9.5;-16
2021-03-17 00:00:00;-2;-8.5;-15
2021-03-18 00:00:00;-3;-9;-15
2021-03-19 00:00:00;-2;-8;-14
2021-03-20 00:00:00;1;-5.5;-12
2021-03-21 00:00:00;7;-1;-9
2021-03-22 00:00:00;9;2.5;-4
2021-03-23 00:00:00;8;3;-2
2021-03-24 00:00:00;8;1.5;-5
2021-03-25 00:00:00;7;2;-3
2021-03-26 00:00:00;9;3.5;-2
2021-03-27 00:00:00;3;-1;-5
2021-03-28 00:00:00;7;0;-7
2021-03-29 00:00:00;8;1;-6
2021-03-30 00:00:00;12;5;-2
2021-03-31 00:00:00;5;0;-5
2021-04-01 00:00:00;5;-0.5;-6
2021-04-02 00:00:00;6;-1;-8
2021-04-03 00:00:00;11;3;-5
2021-04-04 00:00:00;11;5;-1
2021-04-05 00:00:00;7;1;-5
2021-04-06 00:00:00;12;3.5;-5
2021-04-07 00:00:00;16;6.5;-3
2021-04-08 00:00:00;16;7.5;-1
2021-04-09 00:00:00;9;4;-1
2021-04-10 00:00:00;6;1;-4
2021-04-11 00:00:00;2;-4;-10
2021-04-12 00:00:00;5;-0.5;-6
2021-04-13 00:00:00;10;3.5;-3
2021-04-14 00:00:00;5;0.5;-4
2021-04-15 00:00:00;6;2;-2
2021-04-16 00:00:00;11;4;-3
2021-04-17 00:00:00;18;9;0
2021-04-18 00:00:00;5;0.5;-4
2021-04-19 00:00:00;16;7;-2
2021-04-20 00:00:00;13;6.5;0
2021-04-21 00:00:00;4;0.5;-3
2021-04-22 00:00:00;4;0.5;-3
2021-04-23 00:00:00;8;3.5;-1
2021-04-24 00:00:00;14;8.5;3
2021-04-25 00:00:00;4;3.5;3
2021-04-26 00:00:00;7;4.5;2
2021-04-27 00:00:00;8;2;-4
2021-04-28 00:00:00;6;-1;-8
2021-04-29 00:00:00;10;3;-4
2021-04-30 00:00:00;12;6;0
2021-05-01 00:00:00;8;5.5;3
2021-05-02 00:00:00;6;4.5;3
2021-05-03 00:00:00;7;3.5;0
2021-05-04 00:00:00;12;6;0
2021-05-05 00:00:00;5;3;1
2021-05-06 00:00:00;11;7;3
2021-05-07 00:00:00;10;3.5;-3
2021-05-08 00:00:00;14;7;0
2021-05-09 00:00:00;15;10;5
2021-05-10 00:00:00;10;7.5;5
2021-05-11 00:00:00;13;7;1
2021-05-12 00:00:00;16;9;2
2021-05-13 00:00:00;11;5;-1
2021-05-14 00:00:00;13;6;-1
2021-05-15 00:00:00;17;10.5;4
2021-05-16 00:00:00;18;12.5;7
2021-05-17 00:00:00;15;10.5;6
2021-05-18 00:00:00;14;10.5;7
2021-05-19 00:00:00;16;11.5;7
2021-05-20 00:00:00;19;11;3
2021-05-21 00:00:00;9;5.5;2
2021-05-22 00:00:00;11;7.5;4
2021-05-23 00:00:00;12;7.5;3
2021-05-24 00:00:00;14;9.5;5
2021-05-25 00:00:00;11;8.5;6
2021-05-26 00:00:00;13;9.5;6
2021-05-27 00:00:00;16;11.5;7
2021-05-28 00:00:00;19;12.5;6
2021-05-29 00:00:00;15;9.5;4
2021-05-30 00:00:00;13;7;1
2021-05-31 00:00:00;11;7;3
2021-06-01 00:00:00;9;7;5
2021-06-02 00:00:00;21;13.5;6
2021-06-03 00:00:00;27;17.5;8
2021-06-04 00:00:00;29;19.5;10
2021-06-05 00:00:00;32;24;16
2021-06-06 00:00:00;16;12;8
2021-06-07 00:00:00;12;10.5;9
2021-06-08 00:00:00;21;16;11
2021-06-09 00:00:00;25;16;7
2021-06-10 00:00:00;28;19.5;11
2021-06-11 00:00:00;16;12.5;9
2021-06-12 00:00:00;22;16;10
2021-06-13 00:00:00;22;15;8
2021-06-14 00:00:00;20;14;8
2021-06-15 00:00:00;14;10;6
2021-06-16 00:00:00;10;8.5;7
2021-06-17 00:00:00;19;14.5;10
2021-06-18 00:00:00;22;15.5;9
2021-06-19 00:00:00;27;19;11
2021-06-20 00:00:00;28;20.5;13
2021-06-21 00:00:00;32;24;16
2021-06-22 00:00:00;25;19;13
2021-06-23 00:00:00;29;22;15
2021-06-24 00:00:00;26;20.5;15
2021-06-25 00:00:00;28;20;12
2021-06-26 00:00:00;32;23;14
2021-06-27 00:00:00;25;20;15
2021-06-28 00:00:00;21;17.5;14
2021-06-29 00:00:00;14;13.5;13
2021-06-30 00:00:00;15;14;13
